1536	3839	0	1745	3796	572
1792	3839	0	1953	3798	577
2048	3839	0	2169	3800	577
2303	3839	0	2391	3803	582
2559	3839	0	2619	3806	587
2815	3839	0	2850	3810	591
3071	3839	0	3084	3814	596
3327	3839	0	3319	3818	601
3583	3839	0	3557	3823	605
3839	3839	0	3795	3829	610
4095	3839	0	4035	3834	618
0	4095	0	1084	4043	605
256	4095	0	1102	4044	605
512	4095	0	1168	4044	605
768	4095	0	1276	4045	610
1024	4095	0	1421	4046	610
1280	4095	0	1592	4046	610
1536	4095	0	1781	4048	610
1792	4095	0	1984	4050	614
2048	4095	0	2197	4052	618
2303	4095	0	2416	4055	618
2559	4095	0	2642	4058	623
2815	4095	0	2870	4061	627
3071	4095	0	3102	4065	631
3327	4095	0	3336	4069	636
3583	4095	0	3572	4074	640
3839	4095	0	3809	4079	644
4095	4095	0	4048	4084	652
0	0	256	0	0	254
256	0	256	254	0	254
512	0	256	494	93	254
768	0	256	740	128	254
1024	0	256	987	175	266
1280	0	256	1233	226	266
1536	0	256	1481	266	266
1792	0	256	1727	310	278
2048	0	256	1974	356	278
2303	0	256	2219	403	289
2559	0	256	2465	445	300
2815	0	256	2713	494	310
3071	0	256	2959	537	320
3327	0	256	3206	582	329
3583	0	256	3452	627	339
3839	0	256	3699	673	347
4095	0	256	3946	715	356
0	256	256	93	254	254
256	256	256	254	254	254
512	256	256	499	266	254
768	256	256	744	278	254
1024	256	256	990	300	266
1280	256	256	1235	329	266
1536	256	256	1481	356	266
1792	256	256	1727	388	278
2048	256	256	1974	425	278
2303	256	256	2219	464	289
2559	256	256	2466	499	300
2815	256	256	2713	543	310
3071	256	256	2959	582	320
3327	256	256	3206	623	329
3583	256	256	3452	665	339
3839	256	256	3699	704	347
4095	256	256	3946	747	365
0	512	256	128	505	266
256	512	256	278	505	266
512	512	256	505	511	266
768	512	256	747	516	266
1024	512	256	992	527	266
1280	512	256	1239	543	266
1536	512	256	1484	558	278
1792	512	256	1730	577	278
2048	512	256	1976	601	289
2303	512	256	2221	627	300
2559	512	256	2468	652	300
2815	512	256	2714	684	310
3071	512	256	2961	715	320
3327	512	256	3207	747	329
3583	512	256	3454	781	339
3839	512	256	3700	817	356
4095	512	256	3947	851	365
0	768	256	211	758	278
256	768	256	310	758	278
512	768	256	527	761	278
768	768	256	761	764	278
1024	768	256	1002	771	278
1280	768	256	1244	781	278
1536	768	256	1489	791	289
1792	768	256	1734	807	289
2048	768	256	1979	820	300
2303	768	256	2224	838	310
2559	768	256	2470	859	310
2815	768	256	2716	880	320
3071	768	256	2963	903	329
3327	768	256	3209	927	339
3583	768	256	3455	954	347
3839	768	256	3702	982	365
4095	768	256	3948	1009	373
0	1024	256	278	1012	289
256	1024	256	356	1012	289
512	1024	256	553	1014	289
768	1024	256	778	1017	289
1024	1024	256	1012	1021	289
1280	1024	256	1254	1029	300
1536	1024	256	1496	1036	300
1792	1024	256	1740	1045	310
2048	1024	256	1984	1057	310
2303	1024	256	2229	1071	320
2559	1024	256	2475	1084	329
2815	1024	256	2720	1100	329
3071	1024	256	2966	1119	339
3327	1024	256	3212	1138	356
3583	1024	256	3458	1157	365
3839	1024	256	3704	1180	373
4095	1024	256	3951	1204	381
0	1280	256	339	1263	310
256	1280	256	411	1265	310
512	1280	256	582	1265	310
768	1280	256	798	1269	310
1024	1280	256	1029	1273	310
1280	1280	256	1265	1276	320
1536	1280	256	1507	1284	320
1792	1280	256	1749	1291	320
2048	1280	256	1992	1300	329
2303	1280	256	2235	1309	339
2559	1280	256	2480	1321	339
2815	1280	256	2725	1334	347
3071	1280	256	2971	1347	356
3327	1280	256	3216	1363	365
3583	1280	256	3462	1380	381
3839	1280	256	3708	1398	388
4095	1280	256	3954	1418	396
0	1536	256	411	1517	329
256	1536	256	464	1517	329
512	1536	256	623	1517	329
768	1536	256	826	1520	329
1024	1536	256	1047	1523	339
1280	1536	256	1282	1526	339
1536	1536	256	1519	1532	339
1792	1536	256	1759	1538	347
2048	1536	256	2001	1545	347
2303	1536	256	2243	1553	356
2559	1536	256	2487	1563	365
2815	1536	256	2731	1573	373
3071	1536	256	2976	1584	381
3327	1536	256	3221	1597	388
3583	1536	256	3466	1611	396
3839	1536	256	3712	1626	403
4095	1536	256	3958	1643	418
0	1792	256	476	1770	356
256	1792	256	522	1770	356
512	1792	256	665	1770	356
768	1792	256	856	1773	356
1024	1792	256	1073	1775	356
1280	1792	256	1300	1778	365
1536	1792	256	1534	1783	365
1792	1792	256	1771	1787	373
2048	1792	256	2012	1794	373
2303	1792	256	2253	1800	381
2559	1792	256	2495	1808	388
2815	1792	256	2739	1817	396
3071	1792	256	2983	1826	396
3327	1792	256	3227	1837	411
3583	1792	256	3472	1849	418
3839	1792	256	3717	1862	425
4095	1792	256	3962	1876	432
0	2048	256	543	2022	381
256	2048	256	587	2022	381
512	2048	256	711	2023	381
768	2048	256	891	2024	388
1024	2048	256	1100	2026	388
1280	2048	256	1321	2029	388
1536	2048	256	1551	2033	396
