1978	4081	668
2442	4067	654
2830	4050	640
3179	4031	651
3524	4012	651
3865	3987	652
169	67	235
508	27	254
1206	22	273
1336	19	258
1613	18	222
1804	18	213
1995	20	194
2206	23	193
2433	31	180
2673	39	172
2912	53	164
3142	61	172
3361	75	162
3596	80	143
3832	94	130
4068	107	146
4095	163	265
83	527	287
403	385	299
925	319	283
1249	227	263
1517	202	233
1766	158	227
2026	155	213
2235	160	201
2460	149	190
2696	141	179
2930	117	169
3159	115	158
3381	113	164
3612	118	166
3846	135	175
4081	229	198
4095	362	285
53	855	290
249	747	300
609	654	291
1061	441	269
1421	432	245
1729	378	241
1937	356	234
2184	298	216
2544	267	205
2777	242	189
2996	181	173
3215	175	168
3432	170	166
3673	175	170
3902	176	180
4095	338	210
4095	566	307
36	1159	275
132	1151	278
350	1062	269
775	847	283
1200	716	253
1535	598	248
1848	573	243
2133	487	231
2451	419	217
2729	361	201
2934	279	181
3247	243	175
3482	232	179
3725	233	180
3960	270	185
4095	525	221
4095	773	329
21	1444	220
122	1394	293
271	1357	297
441	1214	303
1013	1092	264
1386	985	264
1705	886	252
1998	781	239
2309	694	230
2601	676	216
2873	618	202
3140	571	201
3391	530	191
3666	492	201
3948	546	209
4095	690	234
4095	984	353
20	1634	212
107	1638	308
218	1596	308
397	1569	304
695	1431	291
1235	1347	269
1591	1264	263
1898	1177	269
2209	1099	253
2516	1018	244
2790	955	225
3056	899	216
3317	819	216
3580	750	222
3863	821	223
4095	903	235
4095	1199	378
21	1819	217
93	1822	297
169	1835	304
297	1803	305
596	1719	333
1002	1633	279
1449	1572	279
1787	1512	251
2109	1461	274
2439	1399	253
2727	1343	234
2994	1301	235
3264	1247	241
3527	1193	250
3805	1227	252
4072	1262	274
4095	1418	405
22	2010	222
59	2013	268
129	2023	306
223	2038	306
442	1984	350
793	1888	358
1314	1830	358
1661	1778	336
2004	1737	322
2349	1708	304
2654	1677	268
2932	1634	265
3209	1596	266
3472	1561	267
3748	1516	282
4022	1578	308
4095	1641	401
25	2234	239
51	2237	298
113	2247	347
176	2267	357
310	2251	377
670	2139	391
1121	2079	394
1547	2034	380
1916	2000	362
2255	1970	340
2580	1943	329
2865	1918	330
3147	1891	297
3422	1867	291
3703	1838	303
3974	1801	308
4095	1862	389
29	2472	327
46	2474	380
102	2484	352
135	2500	383
219	2517	407
515	2443	424
943	2379	424
1433	2333	386
1817	2300	378
2174	2271	368
2508	2235	365
2808	2206	364
3096	2180	330
3378	2153	328
3664	2127	325
3945	2098	326
4095	2107	365
36	2693	421
50	2695	419
91	2704	410
132	2719	392
171	2741	401
363	2730	412
689	2647	430
1289	2611	440
1697	2573	437
2075	2553	425
2436	2534	403
2750	2512	389
3039	2487	360
3323	2468	353
3609	2446	347
3892	2425	343
4095	2403	341
52	2920	483
68	2922	467
98	2928	467
128	2941	453
160	2961	475
297	2975	475
651	2912	460
1101	2872	474
1603	2847	453
1981	2814	437
2336	2795	433
2690	2785	437
2989	2769	380
3276	2747	375
3572	2734	371
3888	2691	355
4095	2647	370
98	3146	502
102	3148	499
107	3154	494
132	3166	494
169	3181	513
279	3203	500
455	3184	506
859	3132	498
1442	3100	489
1897	3080	477
2262	3058	463
2601	3041	456
2932	3032	424
3240	3012	407
3546	2983	414
3868	2953	389
4095	2911	383
151	3367	514
131	3369	516
147	3375	525
